Project ID,title,content,Influence,Social,Environment,Finance,Budget,cooldown,MG,Repr_ID,SUM,Project Ratio,for per cell max value = 100 / city total value  = 500
1,Small Park,Approve a small park,50,0,5,0,-250,30,None,0,5,30,
2,Event,Organize a refugee support event,50,-3,7,1,-300,30,None,1,5,25,
3,Concert,Organize a public concert,50,2,10,-5,-350,40,None,0,7,40,
4,Market,Approve a christmas market,75,-5,13,0,-400,40,Sort,1,8,47.5,
5,Factory,Approve the construction of a new steel factory,75,2,15,-4,-450,50,Advertise,0,13,92.5,
6,Funfair,Organize a funfair in the area.,75,-5,18,2,-500,50,Area,1,15,107.5,
7,Solar Panels,Start a neighborhood initiative to collectively install solar panels on rooftops.,100,3,22,-4,-650,60,Sort,0,21,155,
8,School,Convince the teachers and director of a school to install solar panels on the roof to cover the building’s energy needs.,100,-4,25,0,-750,60,Advertise,1,21,145,
9,Static Bikes,Talk to a gym company to connect their static bikes to a generator in order to cover part of the buildings energy needs.,150,0,30,-10,-800,75,Area,0,20,135,
10,Electric Vehicles,Propose tax reduction on electric vehicles,200,-10,35,0,-1000,75,Area,1,25,170,
11,Energy Storage,Create a local energy storage system to be able to be less dependent on the grid.,50,5,0,0,-250,30,None,2,5,30,
12,Biomass Production,Start a small biomass production unit.,50,7,1,-3,-300,30,None,3,5,25,
13,City Park,Open a new city park,50,10,-5,2,-350,40,None,2,7,40,
14,Solar Park,Set up a solar park.,75,13,0,-5,-400,40,Sort,3,8,47.5,
15,Thermal Storage,"Set up a Thermal Energy Storage, where you heat up water at 65-80 degrees.",75,15,-4,2,-450,50,Advertise,2,13,92.5,
16,Energy Cooperation,Start an energy cooperation to facilitate other people who want to start their own energy projects.,75,18,2,-5,-500,50,Area,3,15,107.5,
17,High-Speed Internet,Set-up a hub for a new high-speed internet connection in the region.,100,22,-4,3,-650,60,Sort,2,21,155,
18,Tourist Camping,Set up a camping for tourists who come to bird watch in the area.,100,25,0,-4,-750,60,Advertise,3,21,145,
19,IT Company,Support a small scale IT firm specialized in algorithms that balance production and usage of electricity produced by solar panels.,150,30,-10,0,-800,75,Area,2,20,135,
20,Thermostats,Support a start-up company to develop a new type of thermostat that can connect to people’s smart meters and their smartphones.,200,35,0,-10,-1000,75,Area,3,25,170,
21,Wearable solar,Support a smart energy start-up focused on wearable solar-powered technologies.,50,0,0,5,-250,30,None,4,5,30,
22,Cooling Systems,Support a start-up testing out special cooling systems for servers based on excess heat from households.,50,1,-3,7,-300,30,None,5,5,25,
23,Automated Lights,Support a company to offer smart lighting solutions to allow people to control and automate lighting systems in their house through an app.,50,-5,2,10,-350,40,None,4,7,40,
24,Waste Disposal App,Support an app that offers all key information regarding waste disposal.,75,0,-5,13,-400,40,Sort,5,8,47.5,
25,Bike Sharing,Support a new bike sharing innitiative.,75,-4,2,15,-450,50,Advertise,4,13,92.5,
26,New Train Station,A new train station construction,75,2,-5,18,-500,50,Area,5,15,107.5,
27,New Bus Station,A new bus station construction,100,-4,3,22,-650,60,Sort,4,21,155,
28,New Recycling Plant,A new automated recycling plant,100,0,-4,25,-750,60,Advertise,5,21,145,
29,New Dumpster,A new garbage dumpster,150,-10,0,30,-800,75,Area,4,20,135,
30,New Office Building,A new office building,200,0,-10,35,-1000,75,Area,5,25,170,
