TYPE,WORD
finance,Expense report
finance,Tax refund
finance,Loan status
finance,Interest rate adjustment
finance,Monthly income report
finance,Commercial license fees
finance,Controller report
finance,Gross Domestic Product
finance,Property fees
finance,Credit rating
finance,Debt appraisal
finance,Investment portfolio
finance,New business fund
finance,Employee salaries
finance,Insurance payment
finance,Bank liabilities
social,Non-profit festival proposal
social,Unused building petition
social,Community center report
social,Playground equipment inventory
social,Educational background study
social,Integration report
social,Citizen action forum
social,Volunteer program
social,Youth center plan
social,Free tutoring program
social,Homeless center report
social,Pre-school development strategy
environment,Water conservation strategy
environment,Car-sharing initiative
environment,Solar technology report
environment,Park development plan
environment,Air pollution report
environment,Public transportation campaign
environment,Energy consumption report
environment,Coop gardening article
environment,Energy efficiency school presentation
environment,Recycling analysis
environment,Repair und reuse program
environment,Sustainable production legislation
environment,Rooftop beehive program
