TYPE,Difficulty,WORD - English,WORD - German,WORD -French,WORD - Dutch
Finance,easy,Expense report,Deutsch_Finanz,,
Finance,easy,Tax refund,Deutsch_Finanz,,
Finance,easy,Loan status,Deutsch_Finanz,,
Finance,easy,New business fund,Deutsch_Finanz,,
Finance,easy,Employee salaries,Deutsch_Finanz,,
Finance,easy,Investment portfolio,Deutsch_Finanz,,
Finance,medium,Monthly income report,Deutsch_Finanz,,
Finance,medium,Gross Domestic Product,Deutsch_Finanz,,
Finance,medium,Property fees,Deutsch_Finanz,,
Finance,medium,Credit rating,Deutsch_Finanz,,
Finance,medium,Debt appraisal,Deutsch_Finanz,,
Finance,hard,Commercial license fees,Deutsch_Finanz,,
Finance,hard,Controller report,Deutsch_Finanz,,
Finance,hard,Interest rate adjustment,Deutsch_Finanz,,
Finance,hard,Insurance payment,Deutsch_Finanz,,
Finance,hard,Bank liabilities,Deutsch_Finanz,,
Social,easy,Free tutoring program,Deutsch_Sozial,,
Social,easy,Homeless center report,Deutsch_Sozial,,
Social,easy,Community center report,Deutsch_Sozial,,
Social,easy,Youth center plan,Deutsch_Sozial,,
Social,medium,Educational background study,Deutsch_Sozial,,
Social,medium,Integration report,Deutsch_Sozial,,
Social,medium,Citizen action forum,Deutsch_Sozial,,
Social,medium,Volunteer program,Deutsch_Sozial,,
Social,hard,Unused building petition,Deutsch_Sozial,,
Social,hard,Playground equipment inventory,Deutsch_Sozial,,
Social,hard,Non-profit festival proposal,Deutsch_Sozial,,
Social,hard,Pre-school development strategy,Deutsch_Sozial,,
Environment,easy,Water conservation strategy,Deutsch_Umwelt,,
Environment,easy,Energy consumption report,Deutsch_Umwelt,,
Environment,easy,Solar technology report,Deutsch_Umwelt,,
Environment,easy,Park development plan,Deutsch_Umwelt,,
Environment,easy,Air pollution report,Deutsch_Umwelt,,
Environment,easy,Public transportation campaign,Deutsch_Umwelt,,
Environment,medium,Car-sharing initiative,Deutsch_Umwelt,,
Environment,medium,Coop gardening article,Deutsch_Umwelt,,
Environment,medium,Energy efficiency school presentation,Deutsch_Umwelt,,
Environment,medium,Recycling analysis,Deutsch_Umwelt,,
Environment,medium,Repair und reuse program,Deutsch_Umwelt,,
Environment,hard,Sustainable production legislation,Deutsch_Umwelt,,
Environment,hard,Rooftop beehive program,Deutsch_Umwelt,,
