id,title,content,Rating,Social{-3 3},Environment{-3 3},Finance{-3 3},Cost,Sum
1,Marathon,Organize a marathon in the city,3,2,-1,-1,-500,3
2,Event,Organize a refugee support event,1,1,0,1,-500,3
3,Concert,Organize a public concert,2,2,-2,1,-500,3
4,Market,Approve a christmas market,2,1,-2,2,-500,3
5,Factory,Approve the construction of a new steel factory,1,0,-1,3,-500,3
6,Funfair,Organize an funfair in the area.,2,1,1,-1,-500,3
7,Solar Panels,Start a neighborhood initiative to collectively install solar panels on rooftops.,3,2,-1,-1,-500,3
8,School,Convince the teachers and director of a school to install solar panels on the roof to cover the building’s energy needs.,2,-1,0,2,-500,3
9,Static Bikes,Talk to a gym company to connect their static bikes to a generator in order to cover part of the buildings energy needs.,3,0,-1,1,-500,3
10,Electric Vehicles,Propose tax reduction on electric vehicles,3,2,-1,-1,-500,3
11,Energy Storage,Create a local energy storage system to be able to be less dependent on the grid.,1,1,0,1,-500,3
12,Biomass Production,Start a small biomass production unit.,2,2,-2,1,-500,3
13,City Park,Open a new city park,2,1,-2,2,-500,3
14,Solar Park,Set up a solar park.,1,0,-1,3,-500,3
15,Thermal Storage,"Set up a Thermal Energy Storage, where you heat up water at 65-80 degrees.",2,1,1,-1,-500,3
16,Energy Cooperation,Start an energy cooperation to facilitate other people who want to start their own energy projects.,3,2,-1,-1,-500,3
17,High-Speed Internet,Set-up a hub for a new high-speed internet connection in the region.,2,-1,0,2,-500,3
18,Tourist Camping,Set up a camping for tourists who come to bird watch in the area.,3,0,-1,1,-500,3
19,IT Company,Support a small scale IT firm specialized in algorithms that balance production and usage of electricity produced by solar panels.,3,2,-1,-1,-500,3
20,Thermostats,Support a start-up company to develop a new type of thermostat that can connect to people’s smart meters and their smartphones.,1,1,0,1,-500,3
21,Wearable solar,Support a smart energy start-up focused on wearable solar-powered technologies.,2,2,-2,1,-500,3
22,Cooling Systems,Support a start-up testing out special cooling systems for servers based on excess heat from households.,2,1,-2,2,-500,3
23,Automated Lights,Support a company to offer smart lighting solutions to allow people to control and automate lighting systems in their house through an app.,1,0,-1,3,-500,3
24,Waste Disposal App,Support an app that offers all key information regarding waste disposal.,2,1,1,-1,-500,3
25,Bike Sharing,Support a new bike sharing innitiative.,3,2,-1,-1,-500,3
26,New Train Station,A new train station construction,2,-1,0,2,-500,3
27,New Bus Station,A new bus station construction,3,0,-1,1,-500,3
28,New Recycling Plant,A new recycling plant,3,2,-1,-1,-500,3
29,New Dumpster,A new garbage dumpster,1,1,0,1,-500,3
30,New Office Building,A new office building,2,2,-2,1,-500,3
31,New Mall,"A new mall, including offices and a shopping center",2,1,-2,2,-500,3
32,Sludge Treatment,Energy optimizing sludge treatment fascility,1,0,-1,3,-500,3
33,Solar Plants,Advocate for community-funded solar power plants,2,1,1,-1,-500,3
